02-12-2016 01:49:14  #  start point: 65  #  data number: 5
test_data: [ 1,  2]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 4,  6, 11]  #  total: 360  #  correct_rate: 0.997222
test_data: [ 4,  7,  8]  #  total: 360  #  correct_rate: 0.994444
test_data: [ 4,  7,  9]  #  total: 360  #  correct_rate: 0.997222
test_data: [ 4,  7, 10]  #  total: 360  #  correct_rate: 0.975000
test_data: [ 4,  7, 11]  #  total: 360  #  correct_rate: 0.994444
test_data: [ 4,  8,  9]  #  total: 360  #  correct_rate: 0.994444
test_data: [ 4,  8, 10]  #  total: 360  #  correct_rate: 0.977778
test_data: [ 4,  8, 11]  #  total: 360  #  correct_rate: 0.994444
test_data: [ 4,  9, 10]  #  total: 360  #  correct_rate: 0.986111
test_data: [ 4,  9, 11]  #  total: 360  #  correct_rate: 0.997222
test_data: [ 4, 10, 11]  #  total: 360  #  correct_rate: 0.986111
test_data: [ 5,  6,  7]  #  total: 360  #  correct_rate: 0.861111
test_data: [ 5,  6,  8]  #  total: 360  #  correct_rate: 0.808333
test_data: [ 5,  6,  9]  #  total: 360  #  correct_rate: 0.730556
test_data: [ 5,  6, 10]  #  total: 360  #  correct_rate: 0.861111
test_data: [ 5,  6, 11]  #  total: 360  #  correct_rate: 0.877778
test_data: [ 5,  7,  8]  #  total: 360  #  correct_rate: 0.886111
test_data: [ 5,  7,  9]  #  total: 360  #  correct_rate: 0.880556
test_data: [ 5,  7, 10]  #  total: 360  #  correct_rate: 0.886111
test_data: [ 5,  7, 11]  #  total: 360  #  correct_rate: 0.883333
test_data: [ 5,  8,  9]  #  total: 360  #  correct_rate: 0.883333
test_data: [ 5,  8, 10]  #  total: 360  #  correct_rate: 0.880556
test_data: [ 5,  8, 11]  #  total: 360  #  correct_rate: 0.863889
test_data: [ 5,  9, 10]  #  total: 360  #  correct_rate: 0.861111
test_data: [ 5,  9, 11]  #  total: 360  #  correct_rate: 0.863889
test_data: [ 5, 10, 11]  #  total: 360  #  correct_rate: 0.894444
test_data: [ 6,  7,  8]  #  total: 360  #  correct_rate: 0.733333
test_data: [ 6,  7,  9]  #  total: 360  #  correct_rate: 0.613889
test_data: [ 6,  7, 10]  #  total: 360  #  correct_rate: 0.722222
test_data: [ 6,  7, 11]  #  total: 360  #  correct_rate: 0.727778
test_data: [ 6,  8,  9]  #  total: 360  #  correct_rate: 0.711111
test_data: [ 6,  8, 10]  #  total: 360  #  correct_rate: 0.794444
test_data: [ 6,  8, 11]  #  total: 360  #  correct_rate: 0.758333
test_data: [ 6,  9, 10]  #  total: 360  #  correct_rate: 0.697222
test_data: [ 6,  9, 11]  #  total: 360  #  correct_rate: 0.691667
test_data: [ 6, 10, 11]  #  total: 360  #  correct_rate: 0.772222
test_data: [ 7,  8,  9]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 7,  8, 10]  #  total: 360  #  correct_rate: 0.994444
test_data: [ 7,  8, 11]  #  total: 360  #  correct_rate: 0.994444
test_data: [ 7,  9, 10]  #  total: 360  #  correct_rate: 0.997222
test_data: [ 7,  9, 11]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 7, 10, 11]  #  total: 360  #  correct_rate: 0.991667
